No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total,,,,,,,,,,
1,5**,Number,93,126,108,119,54,10,,,510,,,,,,,,,,
2,5**,Percentage,0.2%,0.3%,0.2%,0.2%,0.1%,0.0%,,,1.0%,,,,,,,,,,
3,5*,Number,111,246,351,508,200,33,2,,1451,,,,,,,,,,
4,5*,Percentage,0.2%,0.5%,0.7%,1.0%,0.4%,0.1%,0.0%,,3.0%,,,,,,,,,,
5,5,Number,104,328,587,1173,663,174,9,,3038,,,,,,,,,,
6,5,Percentage,0.2%,0.7%,1.2%,2.4%,1.4%,0.4%,0.0%,,6.2%,,,,,,,,,,
7,4,Number,106,403,955,3459,3589,1343,164,18,10037,,,,,,,,,,
8,4,Percentage,0.2%,0.8%,2.0%,7.1%,7.4%,2.8%,0.3%,0.0%,20.6%,,,,,,,,,,
9,3,Number,35,134,443,2455,5188,3890,864,115,13124,,,,,,,,,,
10,3,Percentage,0.1%,0.3%,0.9%,5.0%,10.7%,8.0%,1.8%,0.2%,27.0%,,,,,,,,,,
11,2,Number,11,43,118,775,3094,5823,3220,1038,14122,,,,,,,,,,
12,2,Percentage,0.0%,0.1%,0.2%,1.6%,6.4%,12.0%,6.6%,2.1%,29.0%,,,,,,,,,,
13,1,Number,2,4,11,49,260,1125,1829,1999,5279,,,,,,,,,,
14,1,Percentage,0.0%,0.0%,0.0%,0.1%,0.5%,2.3%,3.8%,4.1%,10.9%,,,,,,,,,,
15,U,Number,,,2,7,16,64,175,801,1065,,,,,,,,,,
16,U,Percentage,,,0.0%,0.0%,0.0%,0.1%,0.4%,1.6%,2.2%,,,,,,,,,,
17,Total,Number,462,1284,2575,8545,13064,12462,6263,3971,48626,,,,,,,,,,
18,Total,Percentage,1.0%,2.6%,5.3%,17.6%,26.9%,25.6%,12.9%,8.2%,100.0%,,,,,,,,,,
