No.,Attainment in Mathematics Compulsory  Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total,,,,,,,,,,
1,5**,Number,195,270,160,33,9,1,0,0,668,,,,,,,,,,
2,5**,Percentage,2.6%,3.6%,2.1%,0.4%,0.1%,0.0%,0.0%,0.0%,8.9%,,,,,,,,,,
3,5*,Number,77,370,657,255,111,14,2,0,1486,,,,,,,,,,
4,5*,Percentage,1.0%,4.9%,8.7%,3.4%,1.5%,0.2%,0.0%,0.0%,19.8%,,,,,,,,,,
5,5,Number,15,192,728,648,439,122,11,4,2159,,,,,,,,,,
6,5,Percentage,0.2%,2.6%,9.7%,8.6%,5.8%,1.6%,0.1%,0.1%,28.7%,,,,,,,,,,
7,4,Number,1,22,191,568,852,617,207,54,2512,,,,,,,,,,
8,4,Percentage,0.0%,0.3%,2.5%,7.6%,11.3%,8.2%,2.8%,0.7%,33.4%,,,,,,,,,,
9,3,Number,1,1,0,7,71,165,221,81,547,,,,,,,,,,
10,3,Percentage,0.0%,0.0%,0.0%,0.1%,0.9%,2.2%,2.9%,1.1%,7.3%,,,,,,,,,,
11,2,Number,0,0,0,0,0,19,40,75,134,,,,,,,,,,
12,2,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.3%,0.5%,1.0%,1.8%,,,,,,,,,,
13,1,Number,0,0,0,0,0,0,1,11,12,,,,,,,,,,
14,1,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.2%,,,,,,,,,,
15,U,Number,0,0,0,0,0,0,0,3,3,,,,,,,,,,
16,U,Percentage,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,
17,Total,Number,289,855,1736,1511,1482,938,482,228,7521,,,,,,,,,,
18,Total,Percentage,3.8%,11.4%,23.1%,20.1%,19.7%,12.5%,6.4%,3.0%,100.0%,,,,,,,,,,
