No,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total,,,,,,,
1,No of People,Number,25 732,25 276,51 008,31 123,29 226,60 349,,,,,,,
2,Core subjects at 3322 or better,Number,8 510,12 439,20 949,8 887,12 706,21 593,,,,,,,
3,Core subjects at 3322 or better,Percentage,33.1%,49.2%,41.1%,28.6%,43.5%,35.8%,,,,,,,
4,"Core subjects at 3322 or better, with one elective at level 2+ #",Number,8 477,12 389,20 866,8 829,12 639,21 468,,,,,,,
5,"Core subjects at 3322 or better, with one elective at level 2+ #",Percentage,32.9%,49.0%,40.9%,28.4%,43.2%,35.6%,,,,,,,
6,"Core subjects at 3322 or better, with two electives at level 2+ #",Number,8 138,11 853,19 991,8 396,12 026,20 422,,,,,,,
7,"Core subjects at 3322 or better, with two electives at level 2+ #",Percentage,31.6%,46.9%,39.2%,27.0%,41.1%,33.8%,,,,,,,
8,"Core subjects at 3322 or better, with one elective at level 3+ #",Number,8 218,11 894,20 112,8 543,12 109,20 652,,,,,,,
9,"Core subjects at 3322 or better, with one elective at level 3+ #",Percentage,31.9%,47.1%,39.4%,27.4%,41.4%,34.2%,,,,,,,
10,"Core subjects at 3322 or better, with two electives at level 3+ # ",Number,7 306,10 195,17 501,7 534,10 323,17 857,,,,,,,
11,"Core subjects at 3322 or better, with two electives at level 3+ # ",Percentage,28.4%,40.3%,34.3%,24.2%,35.3%,29.6%,,,,,,,
12,"Core subjects at 3332 or better, with one elective at level 3+ # ",Number,7 818,10 839,18 657,8 124,11 015,19 139,,,,,,,
13,"Core subjects at 3332 or better, with one elective at level 3+ # ",Percentage,30.4%,42.9%,36.6%,26.1%,37.7%,31.7%,,,,,,,
14,"Core subjects at 3332 or better, with two electives at level 3+ #",Number,7 093,9 611,16 704,7 309,9 724,17 033,,,,,,,
15,"Core subjects at 3332 or better, with two electives at level 3+ #",Percentage,27.6%,38.0%,32.7%,23.5%,33.3%,28.2%,,,,,,,
16,"Core subjects at 3322 or better, with one elective at level 4+ ",Number,7 024,9 441,16 465,7 298,9 589,16 887,,,,,,,
17,"Core subjects at 3322 or better, with one elective at level 4+ ",Percentage,27.3%,37.4%,32.3%,23.4%,32.8%,28.0%,,,,,,,
18,"Core subjects at 3322 or better, with two electives at level 4+ ",Number,5 299,6 503,11 802,5 452,6 569,12 021,,,,,,,
19,"Core subjects at 3322 or better, with two electives at level 4+ ",Percentage,20.6%,25.7%,23.1%,17.5%,22.5%,19.9%,,,,,,,
20,"Core subjects at 3322 or better, with one elective at level 5+",Number,4 092,4 446,8 538,4 244,4 508,8 752,,,,,,,
21,"Core subjects at 3322 or better, with one elective at level 5+",Percentage,15.9%,17.6%,16.7%,13.6%,15.4%,14.5%,,,,,,,
22,"Core subjects at 3322 or better, with two electives at level 5+ ",Number,2 417,2 222,4 639,2 485,2 246,4 731,,,,,,,
23,"Core subjects at 3322 or better, with two electives at level 5+ ",Percentage,9.4%,8.8%,9.1%,8.0%,7.7%,7.8%,,,,,,,
24,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Number,2 880,1 733,4 613,2 946,1 748,4 694,,,,,,,
25,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Percentage,11.2%,6.9%,9.0%,9.5%,6.0%,7.8%,,,,,,,
26,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Number,2 664,1 575,4 239,2 718,1 586,4 304,,,,,,,
27,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Percentage,10.4%,6.2%,8.3%,8.7%,5.4%,7.1%,,,,,,,
28,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Number,2 651,1 566,4 217,2 705,1 577,4 282,,,,,,,
29,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Percentage,10.3%,6.2%,8.3%,8.7%,5.4%,7.1%,,,,,,,
