No.,Description,Type,"Day school candidates 
taking at least five 
Category A / B subjects - Male","Day school candidates 
taking at least five 
Category A / B subjects - Female","Day school candidates 
taking at least five 
Category A / B subjects - Total","All candidates 
taking at least five 
Category A / B subjects - Male","All candidates 
taking at least five 
Category A / B subjects - Female","All candidates 
taking at least five 
Category A / B subjects - Total"
1,No. of candidates,Number,22692,22682,45374,23940,23586,47526
2,Total grade points 10 – 12,Number,1798,1618,3416,1896,1698,3594
3,Total grade points 10 – 12,Percentage,7.9%,7.1%,7.5%,7.9%,7.2%,7.6%
4,Total grade points 13 – 15,Number,3120,3404,6524,3296,3512,6808
5,Total grade points 13 – 15,Percentage,13.7%,15.0%,14.4%,13.8%,14.9%,14.3%
6,Total grade points 16 – 18,Number,3493,4249,7742,3655,4363,8018
7,Total grade points 16 – 18,Percentage,15.4%,18.7%,17.1%,15.3%,18.5%,16.9%
8,Total grade points 19 – 21,Number,2966,3789,6755,3076,3871,6947
9,Total grade points 19 – 21,Percentage,13.1%,16.7%,14.9%,12.8%,16.4%,14.6%
10,Total grade points 22 – 24,Number,1773,2211,3984,1826,2246,4072
11,Total grade points 22 – 24,Percentage,7.8%,9.7%,8.8%,7.6%,9.5%,8.6%
12,Total grade points 25 – 27,Number,988,1216,2204,1010,1242,2252
13,Total grade points 25 – 27,Percentage,4.4%,5.4%,4.9%,4.2%,5.3%,4.7%
14,Total grade points 28 – 30,Number,553,679,1232,560,695,1255
15,Total grade points 28 – 30,Percentage,2.4%,3.0%,2.7%,2.3%,2.9%,2.6%
16,Total grade points 31 – 33,Number,284,280,564,289,286,575
17,Total grade points 31 – 33,Percentage,1.3%,1.2%,1.2%,1.2%,1.2%,1.2%
18,Total grade points 34 – 35,Number,101,84,185,101,85,186
19,Total grade points 34 – 35,Percentage,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%
