No,"Total no. of subjects 
at top levels / grades","Candidates with the corresponding results in 
Category A/B/C subjects - No. of Male","Candidates with the corresponding results in 
Category A/B/C subjects - % of Male","Candidates with the corresponding results in 
Category A/B/C subjects - No. of Female","Candidates with the corresponding results in 
Category A/B/C subjects - % of Female","Candidates with the corresponding results in 
Category A/B/C subjects - Total No.","Candidates with the corresponding results in 
Category A/B/C subjects - Total %","Candidates with the corresponding results in 
Category A subjects - No. of Male","Candidates with the corresponding results in 
Category A subjects - % of Male","Candidates with the corresponding results in 
Category A subjects - No. of Female","Candidates with the corresponding results in 
Category A subjects - % of Female","Candidates with the corresponding results in 
Category A subjects - Total No.","Candidates with the corresponding results in 
Category A subjects - Total %"
1,8,0,0.0 ,0,0.0 ,0,0.0 ,0,0.0 ,0,0.0 ,0,0.0 
2,7,9,0.0 ,3,0.0 ,12,0.0 ,9,0.0 ,3,0.0 ,12,0.0 
3,6,8,0.0 ,7,0.0 ,15,0.0 ,8,0.0 ,7,0.0 ,15,0.0 
4,5,34,0.1 ,28,0.1 ,62,0.1 ,33,0.1 ,28,0.1 ,61,0.1 
5,4,57,0.2 ,50,0.2 ,107,0.2 ,57,0.2 ,48,0.2 ,105,0.2 
6,3,102,0.4 ,82,0.4 ,184,0.4 ,99,0.4 ,81,0.4 ,180,0.4 
7,2,196,0.8 ,224,1.0 ,420,0.9 ,195,0.8 ,213,0.9 ,408,0.9 
8,1,866,3.7 ,1143,4.9 ,2009,4.3 ,740,3.1 ,813,3.5 ,1553,3.3 
9,0,22311,94.6 ,21597,93.4 ,43908,94.0 ,22394,95.2 ,21885,94.8 ,44279,95.0 
10,Total,23583,100.0 ,23134,100.0 ,46717,100.0 ,23535,100.0 ,23078,100.0 ,46613,100.0 
