No,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total,,,,,,,
1,No. of candidates,Number,23583,23134,46717,28156,26486,54642,,,,,,,
2,Core subjects at 3322 or better,Number,8177,11617,19794,8420,11860,20280,,,,,,,
3,Core subjects at 3322 or better,Percentage,34.7%,50.2%,42.4%,29.9%,44.8%,37.1%,,,,,,,
4,"Core subjects at 3322 or better, with one elective at level 2+ #",Number,8161,11581,19742,8392,11811,20203,,,,,,,
5,"Core subjects at 3322 or better, with one elective at level 2+ #",Percentage,34.6%,50.1%,42.3%,29.8%,44.6%,37.0%,,,,,,,
6,"Core subjects at 3322 or better, with two electives at level 2+ #",Number,7818,11072,18890,8011,11262,19273,,,,,,,
7,"Core subjects at 3322 or better, with two electives at level 2+ #",Percentage,33.2%,47.9%,40.4%,28.5%,42.5%,35.3%,,,,,,,
8,"Core subjects at 3322 or better, with one elective at level 3+ #",Number,7928,11016,18944,8145,11228,19373,,,,,,,
9,"Core subjects at 3322 or better, with one elective at level 3+ #",Percentage,33.6%,47.6%,40.6%,28.9%,42.4%,35.5%,,,,,,,
10,"Core subjects at 3322 or better, with two electives at level 3+ # ",Number,7074,9449,16523,7233,9603,16836,,,,,,,
11,"Core subjects at 3322 or better, with two electives at level 3+ # ",Percentage,30.0%,40.8%,35.4%,25.7%,36.3%,30.8%,,,,,,,
12,"Core subjects at 3332 or better, with one elective at level 3+ # ",Number,7476,9871,17347,7678,10046,17724,,,,,,,
13,"Core subjects at 3332 or better, with one elective at level 3+ # ",Percentage,31.7%,42.7%,37.1%,27.3%,37.9%,32.4%,,,,,,,
14,"Core subjects at 3332 or better, with two electives at level 3+ #",Number,6786,8786,15572,6937,8928,15865,,,,,,,
15,"Core subjects at 3332 or better, with two electives at level 3+ #",Percentage,28.8%,38.0%,33.3%,24.6%,33.7%,29.0%,,,,,,,
16,"Core subjects at 3322 or better, with one elective at level 4+ #",Number,6809,8896,15705,6982,9048,16030,,,,,,,
17,"Core subjects at 3322 or better, with one elective at level 4+ #",Percentage,28.9%,38.5%,33.6%,24.8%,34.2%,29.3%,,,,,,,
18,"Core subjects at 3322 or better, with two electives at level 4+ #",Number,5218,6194,11412,5321,6292,11613,,,,,,,
19,"Core subjects at 3322 or better, with two electives at level 4+ #",Percentage,22.1%,26.8%,24.4%,18.9%,23.8%,21.3%,,,,,,,
20,"Core subjects at 3322 or better, with one elective at level 5+",Number,3894,4261,8155,3986,4335,8321,,,,,,,
21,"Core subjects at 3322 or better, with one elective at level 5+",Percentage,16.5%,18.4%,17.5%,14.2%,16.4%,15.2%,,,,,,,
22,"Core subjects at 3322 or better, with two electives at level 5+ ",Number,2322,2217,4539,2365,2258,4623,,,,,,,
23,"Core subjects at 3322 or better, with two electives at level 5+ ",Percentage,9.8%,9.6%,9.7%,8.4%,8.5%,8.5%,,,,,,,
24,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Number,2838,1685,4523,2897,1717,4614,,,,,,,
25,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 2+ and one elective at level 2+ #",Percentage,12.0%,7.3%,9.7%,10.3%,6.5%,8.4%,,,,,,,
26,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Number,2628,1481,4109,2680,1509,4189,,,,,,,
27,"Core subjects at 3322 or better, with Mathematics Extended Part
at level 3+ and one elective at level 2+ #",Percentage,11.1%,6.4%,8.8%,9.5%,5.7%,7.7%,,,,,,,
28,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Number,2616,1468,4084,2668,1496,4164,,,,,,,
29,"Core subjects at 3322 or better, with Mathematics Extended Part 
at level 3+ and one elective at level 3+ #",Percentage,11.1%,6.3%,8.7%,9.5%,5.6%,7.6%,,,,,,,
