No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,175,227,147,40,9,4,,,602
2,5**,Percentage,2.5%,3.2%,2.1%,0.6%,0.1%,0.1%,,,8.6%
3,5*,Number,80,346,583,323,86,12,2,,1432
4,5*,Percentage,1.1%,4.9%,8.3%,4.6%,1.2%,0.2%,0.0%,,20.4%
5,5,Number,11,120,483,697,371,88,13,3,1786
6,5,Percentage,0.2%,1.7%,6.9%,9.9%,5.3%,1.3%,0.2%,0.0%,25.5%
7,4,Number,,12,154,552,929,562,178,34,2421
8,4,Percentage,,0.2%,2.2%,7.9%,13.2%,8.0%,2.5%,0.5%,34.5%
9,3,Number,,,,6,93,211,207,78,595
10,3,Percentage,,,,0.1%,1.3%,3.0%,2.9%,1.1%,8.5%
11,2,Number,,,,,3,16,68,79,166
12,2,Percentage,,,,,0.0%,0.2%,1.0%,1.1%,2.4%
13,1,Number,,,,,,,1,10,11
14,1,Percentage,,,,,,,0.0%,0.1%,0.2%
15,U,Number,,,,,,,,4,4
16,U,Percentage,,,,,,,,0.1%,0.1%
17,Total,Number,266,705,1367,1618,1491,893,469,208,7017
18,Total,Percentage,3.8%,10.0%,19.5%,23.1%,21.2%,12.7%,6.7%,3.0%,100.0%
