No,Subject,Gender,Type,"No.
entered",No. sat,Performance - a,Performance - b+,Performance - c+,Performance - d+,Performance - e+,Performance - U
1,French Language,Male,Number,19,18,3,5,8,11,12,6
2,French Language,Male,Percentage,,,16.7%,27.8%,44.4%,61.1%,66.7%,33.3%
3,French Language,Female,Number,41,40,7,8,13,20,28,12
4,French Language,Female,Percentage,,,17.5%,20.0%,32.5%,50.0%,70.0%,30.0%
5,French Language,Total,Number,60,58,10,13,21,31,40,18
6,French Language,Total,Percentage,,,17.2%,22.4%,36.2%,53.4%,69.0%,31.0%
7,German Language,Male,Number,1,1,0,0,0,0,1,0
8,German Language,Male,Percentage,,,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
9,German Language,Female,Number,4,3,1,3,3,3,3,0
10,German Language,Female,Percentage,,,33.3%,100.0%,100.0%,100.0%,100.0%,0.0%
11,German Language,Total,Number,5,4,1,3,3,3,4,0
12,German Language,Total,Percentage,,,25.0%,75.0%,75.0%,75.0%,100.0%,0.0%
13,Hindi Language,Male,Number,3,0,-,-,-,-,-,-
14,Hindi Language,Male,Percentage,,,-,-,-,-,-,-
15,Hindi Language,Female,Number,10,10,1,5,6,6,6,4
16,Hindi Language,Female,Percentage,,,10.0%,50.0%,60.0%,60.0%,60.0%,40.0%
17,Hindi Language,Total,Number,13,10,1,5,6,6,6,4
18,Hindi Language,Total,Percentage,,,10.0%,50.0%,60.0%,60.0%,60.0%,40.0%
19,Japanese Language,Male,Number,121,111,55,75,91,103,105,6
20,Japanese Language,Male,Percentage,,,49.5%,67.6%,82.0%,92.8%,94.6%,5.4%
21,Japanese Language,Female,Number,234,224,121,171,197,206,216,8
22,Japanese Language,Female,Percentage,,,54.0%,76.3%,87.9%,92.0%,96.4%,3.6%
23,Japanese Language,Total,Number,355,335,176,246,288,309,321,14
24,Japanese Language,Total,Percentage,,,52.5%,73.4%,86.0%,92.2%,95.8%,4.2%
25,Spanish Language,Male,Number,7,7,1,3,4,5,6,1
26,Spanish Language,Male,Percentage,,,14.3%,42.9%,57.1%,71.4%,85.7%,14.3%
27,Spanish Language,Female,Number,7,7,3,3,3,5,6,1
28,Spanish Language,Female,Percentage,,,42.9%,42.9%,42.9%,71.4%,85.7%,14.3%
29,Spanish Language,Total,Number,14,14,4,6,7,10,12,2
30,Spanish Language,Total,Percentage,,,28.6%,42.9%,50.0%,71.4%,85.7%,14.3%
31,Urdu Language,Male,Number,16,13,4,6,8,9,9,4
32,Urdu Language,Male,Percentage,,,30.8%,46.2%,61.5%,69.2%,69.2%,30.8%
33,Urdu Language,Female,Number,14,14,9,11,11,11,13,1
34,Urdu Language,Female,Percentage,,,64.3%,78.6%,78.6%,78.6%,92.9%,7.1%
35,Urdu Language,Total,Number,30,27,13,17,19,20,22,5
36,Urdu Language,Total,Percentage,,,48.1%,63.0%,70.4%,74.1%,81.5%,18.5%
37,All Category C subjects,Male,Number,167,150,63,89,111,128,133,17
38,All Category C subjects,Male,Percentage,,,42.0%,59.3%,74.0%,85.3%,88.7%,11.3%
39,All Category C subjects,Female,Number,310,298,142,201,233,251,272,26
40,All Category C subjects,Female,Percentage,,,47.7%,67.4%,78.2%,84.2%,91.3%,8.7%
41,All Category C subjects,Total,Number,477,448,205,290,344,379,405,43
42,All Category C subjects,Total,Percentage,,,45.8%,64.7%,76.8%,84.6%,90.4%,9.6%
