No.,Description,Type,"Day school candidates 
taking at least five 
Category A / B subjects - Male","Day school candidates 
taking at least five 
Category A / B subjects - Female","Day school candidates 
taking at least five 
Category A / B subjects - Total","All candidates 
taking at least five 
Category A / B subjects - Male","All candidates 
taking at least five 
Category A / B subjects - Female","All candidates 
taking at least five 
Category A / B subjects - Total"
1,No. of candidates,Number,21497,21546,43043,22576,22355,44931
2,"5 subjects with level 2+ in Category A subjects  / 
‘Attained’ or above in Category B subjects, including Chinese Language and English Language ",Number,14112,16557,30669,14638,16960,31598
3,"5 subjects with level 2+ in Category A subjects  / 
‘Attained’ or above in Category B subjects, including Chinese Language and English Language ",Percentage,65.6%,76.8%,71.3%,64.8%,75.9%,70.3%
