No,Subject,Gender,Type,"No.
entered",No. sat,Performance - a,Performance - b+,Performance - c+,Performance - d+,Performance - e+,Performance - U
1,French Language,Male,Number,18,17,3,4,7,10,11,6
2,French Language,Male,Percentage,,,17.6%,23.5%,41.2%,58.8%,64.7%,35.3%
3,French Language,Female,Number,41,40,7,8,13,20,28,12
4,French Language,Female,Percentage,,,17.5%,20.0%,32.5%,50.0%,70.0%,30.0%
5,French Language,Total,Number,59,57,10,12,20,30,39,18
6,French Language,Total,Percentage,,,17.5%,21.1%,35.1%,52.6%,68.4%,31.6%
7,German Language,Male,Number,0,0,-,-,-,-,-,-
8,German Language,Male,Percentage,,,-,-,-,-,-,-
9,German Language,Female,Number,4,3,1,3,3,3,3,0
10,German Language,Female,Percentage,,,33.3%,100.0%,100.0%,100.0%,100.0%,0.0%
11,German Language,Total,Number,4,3,1,3,3,3,3,0
12,German Language,Total,Percentage,,,33.3%,100.0%,100.0%,100.0%,100.0%,0.0%
13,Hindi Language,Male,Number,3,0,-,-,-,-,-,-
14,Hindi Language,Male,Percentage,,,-,-,-,-,-,-
15,Hindi Language,Female,Number,9,9,0,4,5,5,5,4
16,Hindi Language,Female,Percentage,,,0.0%,44.4%,55.6%,55.6%,55.6%,44.4%
17,Hindi Language,Total,Number,12,9,0,4,5,5,5,4
18,Hindi Language,Total,Percentage,,,0.0%,44.4%,55.6%,55.6%,55.6%,44.4%
19,Japanese Language,Male,Number,113,108,54,73,88,100,102,6
20,Japanese Language,Male,Percentage,,,50.0%,67.6%,81.5%,92.6%,94.4%,5.6%
21,Japanese Language,Female,Number,231,222,120,170,195,204,214,8
22,Japanese Language,Female,Percentage,,,54.1%,76.6%,87.8%,91.9%,96.4%,3.6%
23,Japanese Language,Total,Number,344,330,174,243,283,304,316,14
24,Japanese Language,Total,Percentage,,,52.7%,73.6%,85.8%,92.1%,95.8%,4.2%
25,Spanish Language,Male,Number,7,7,1,3,4,5,6,1
26,Spanish Language,Male,Percentage,,,14.3%,42.9%,57.1%,71.4%,85.7%,14.3%
27,Spanish Language,Female,Number,6,6,2,2,2,4,5,1
28,Spanish Language,Female,Percentage,,,33.3%,33.3%,33.3%,66.7%,83.3%,16.7%
29,Spanish Language,Total,Number,13,13,3,5,6,9,11,2
30,Spanish Language,Total,Percentage,,,23.1%,38.5%,46.2%,69.2%,84.6%,15.4%
31,Urdu Language,Male,Number,16,13,4,6,8,9,9,4
32,Urdu Language,Male,Percentage,,,30.8%,46.2%,61.5%,69.2%,69.2%,30.8%
33,Urdu Language,Female,Number,10,10,7,8,8,8,9,1
34,Urdu Language,Female,Percentage,,,70.0%,80.0%,80.0%,80.0%,90.0%,10.0%
35,Urdu Language,Total,Number,26,23,11,14,16,17,18,5
36,Urdu Language,Total,Percentage,,,47.8%,60.9%,69.6%,73.9%,78.3%,21.7%
37,All Category C subjects,Male,Number,157,145,62,86,107,124,128,17
38,All Category C subjects,Male,Percentage,,,42.8%,59.3%,73.8%,85.5%,88.3%,11.7%
39,All Category C subjects,Female,Number,301,290,137,195,226,244,264,26
40,All Category C subjects,Female,Percentage,,,47.2%,67.2%,77.9%,84.1%,91.0%,9.0%
41,All Category C subjects,Total,Number,458,435,199,281,333,368,392,43
42,All Category C subjects,Total,Percentage,,,45.7%,64.6%,76.6%,84.6%,90.1%,9.9%
