No.,Description,Type,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Male,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Female,Day school candidates taking at least six Category A / B subjects (Any six subjects#) - Total,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Male,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Female,Day school candidates taking at least six Category A / B subjects (Four core subjects and two elective subjects) - Total
1,No. of candidates,Number,17771,18181,35952,17771,18181,35952
2,Total grade points 16 – 18,Number,192,222,414,198,227,425
3,Total grade points 16 – 18,Percentage,1.1%,1.2%,1.2%,1.1%,1.2%,1.2%
4,Total grade points 19 – 21,Number,1232,1534,2766,1255,1556,2811
5,Total grade points 19 – 21,Percentage,6.9%,8.4%,7.7%,7.1%,8.6%,7.8%
6,Total grade points 22 – 24,Number,1718,2304,4022,1789,2358,4147
7,Total grade points 22 – 24,Percentage,9.7%,12.7%,11.2%,10.1%,13.0%,11.5%
8,Total grade points 25 – 27,Number,1303,1745,3048,1354,1750,3104
9,Total grade points 25 – 27,Percentage,7.3%,9.6%,8.5%,7.6%,9.6%,8.6%
10,Total grade points 28 – 30,Number,881,1018,1899,921,1024,1945
11,Total grade points 28 – 30,Percentage,5.0%,5.6%,5.3%,5.2%,5.6%,5.4%
12,Total grade points 31 – 33,Number,558,574,1132,521,566,1087
13,Total grade points 31 – 33,Percentage,3.1%,3.2%,3.1%,2.9%,3.1%,3.0%
14,Total grade points 34 – 36,Number,337,336,673,274,297,571
15,Total grade points 34 – 36,Percentage,1.9%,1.8%,1.9%,1.5%,1.6%,1.6%
16,Total grade points 37 – 39,Number,173,140,313,113,106,219
17,Total grade points 37 – 39,Percentage,1.0%,0.8%,0.9%,0.6%,0.6%,0.6%
18,Total grade points 40 – 42,Number,66,38,104,35,27,62
19,Total grade points 40 – 42,Percentage,0.4%,0.2%,0.3%,0.2%,0.1%,0.2%
