No.,Attainment in Chinese Language,Type,Attainment in English Language - 5**,Attainment in English Language - 5*,Attainment in English Language - 5,Attainment in English Language - 4,Attainment in English Language - 3,Attainment in English Language - 2,Attainment in English Language - 1,Attainment in English Language - U,Total
1,5**,Number,73,95,98,84,31,7,,,388
2,5**,Percentage,0.2%,0.2%,0.2%,0.2%,0.1%,0.0%,,,1.0%
3,5*,Number,108,220,245,359,207,29,1,,1169
4,5*,Percentage,0.3%,0.6%,0.6%,0.9%,0.5%,0.1%,0.0%,,2.9%
5,5,Number,81,260,442,795,563,160,7,2,2310
6,5,Percentage,0.2%,0.7%,1.1%,2.0%,1.4%,0.4%,0.0%,0.0%,5.8%
7,4,Number,114,434,980,2628,3061,1415,183,16,8831
8,4,Percentage,0.3%,1.1%,2.5%,6.6%,7.7%,3.6%,0.5%,0.0%,22.2%
9,3,Number,33,199,477,1999,3989,3479,821,109,11106
10,3,Percentage,0.1%,0.5%,1.2%,5.0%,10.0%,8.8%,2.1%,0.3%,28.0%
11,2,Number,13,47,154,646,2113,4536,2773,848,11130
12,2,Percentage,0.0%,0.1%,0.4%,1.6%,5.3%,11.4%,7.0%,2.1%,28.0%
13,1,Number,,3,18,70,201,710,1366,1415,3783
14,1,Percentage,,0.0%,0.0%,0.2%,0.5%,1.8%,3.4%,3.6%,9.5%
15,U,Number,,3,3,14,26,67,174,711,998
16,U,Percentage,,0.0%,0.0%,0.0%,0.1%,0.2%,0.4%,1.8%,2.5%
17,Total,Number,422,1261,2417,6595,10191,10403,5325,3101,39715
18,Total,Percentage,1.1%,3.2%,6.1%,16.6%,25.7%,26.2%,13.4%,7.8%,100.0%
