No.,Description,Type,Day school candidates - Male,Day school candidates - Female,Day school candidates - Total,All candidates - Male,All candidates - Female,All candidates - Total
1,No. of candidates,Number,20821,20375,41196,24666,23225,47891
2,Core subjects at 3322 or better,Number,7540,9844,17384,7713,10020,17733
3,Core subjects at 3322 or better,Percentage,36.2%,48.3%,42.2%,31.3%,43.1%,37.0%
4,"Core subjects at 3322 or better, with one elective at level 2+ #",Number,7520,9799,17319,7683,9957,17640
5,"Core subjects at 3322 or better, with one elective at level 2+ #",Percentage,36.1%,48.1%,42.0%,31.1%,42.9%,36.8%
6,"Core subjects at 3322 or better, with two electives at level 2+ #",Number,7204,9350,16554,7341,9480,16821
7,"Core subjects at 3322 or better, with two electives at level 2+ #",Percentage,34.6%,45.9%,40.2%,29.8%,40.8%,35.1%
8,"Core subjects at 3322 or better, with one elective at level 3+ #",Number,7277,9268,16545,7433,9408,16841
9,"Core subjects at 3322 or better, with one elective at level 3+ #",Percentage,35.0%,45.5%,40.2%,30.1%,40.5%,35.2%
10,"Core subjects at 3322 or better, with two electives at level 3+ #",Number,6460,7911,14371,6579,8017,14596
11,"Core subjects at 3322 or better, with two electives at level 3+ #",Percentage,31.0%,38.8%,34.9%,26.7%,34.5%,30.5%
12,"Core subjects at 3332 or better, with one elective at level 3+ #",Number,6921,8413,15334,7061,8537,15598
13,"Core subjects at 3332 or better, with one elective at level 3+ #",Percentage,33.2%,41.3%,37.2%,28.6%,36.8%,32.6%
14,"Core subjects at 3332 or better, with two electives at level 3+ #",Number,6253,7432,13685,6364,7527,13891
15,"Core subjects at 3332 or better, with two electives at level 3+ #",Percentage,30.0%,36.5%,33.2%,25.8%,32.4%,29.0%
16,"Core subjects at 3322 or better, with one elective at level 4+ #",Number,6224,7412,13636,6343,7503,13846
17,"Core subjects at 3322 or better, with one elective at level 4+ #",Percentage,29.9%,36.4%,33.1%,25.7%,32.3%,28.9%
18,"Core subjects at 3322 or better, with two electives at level 4+ #",Number,4649,5088,9737,4721,5146,9867
19,"Core subjects at 3322 or better, with two electives at level 4+ #",Percentage,22.3%,25.0%,23.6%,19.1%,22.2%,20.6%
20,"Core subjects at 3322 or better, with one elective at level 5+",Number,3607,3562,7169,3662,3605,7267
21,"Core subjects at 3322 or better, with one elective at level 5+",Percentage,17.3%,17.5%,17.4%,14.8%,15.5%,15.2%
22,"Core subjects at 3322 or better, with two electives at level 5+",Number,2182,1787,3969,2209,1806,4015
23,"Core subjects at 3322 or better, with two electives at level 5+",Percentage,10.5%,8.8%,9.6%,9.0%,7.8%,8.4%
24,"Core subjects at 3322 or better, with Mathematics Extended Part at level 2+ and one elective at level 2+ #",Number,2679,1581,4260,2713,1601,4314
25,"Core subjects at 3322 or better, with Mathematics Extended Part at level 2+ and one elective at level 2+ #",Percentage,12.9%,7.8%,10.3%,11.0%,6.9%,9.0%
26,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 2+ #",Number,2459,1384,3843,2487,1400,3887
27,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 2+ #",Percentage,11.8%,6.8%,9.3%,10.1%,6.0%,8.1%
28,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 3+ #",Number,2445,1370,3815,2473,1386,3859
29,"Core subjects at 3322 or better, with Mathematics Extended Part at level 3+ and one elective at level 3+ #",Percentage,11.7%,6.7%,9.3%,10.0%,6.0%,8.1%
