No.,Attainment in Mathematics Compulsory Part,Type,Attainment in Mathematics Extended Part - 5**,Attainment in Mathematics Extended Part - 5*,Attainment in Mathematics Extended Part - 5,Attainment in Mathematics Extended Part - 4,Attainment in Mathematics Extended Part - 3,Attainment in Mathematics Extended Part - 2,Attainment in Mathematics Extended Part - 1,Attainment in Mathematics Extended Part - U,Total
1,5**,Number,147,198,141,22,8,,,,516
2,5**,Percentage,2.4%,3.3%,2.3%,0.4%,0.1%,,,,8.5%
3,5*,Number,63,345,528,242,69,8,,,1255
4,5*,Percentage,1.0%,5.7%,8.7%,4.0%,1.1%,0.1%,,,20.7%
5,5,Number,9,136,485,605,336,105,9,,1685
6,5,Percentage,0.1%,2.2%,8.0%,10.0%,5.6%,1.7%,0.1%,,27.9%
7,4,Number,,13,127,472,714,510,151,26,2013
8,4,Percentage,,0.2%,2.1%,7.8%,11.8%,8.4%,2.5%,0.4%,33.3%
9,3,Number,,,,9,55,146,166,65,441
10,3,Percentage,,,,0.1%,0.9%,2.4%,2.7%,1.1%,7.3%
11,2,Number,,,,1,5,14,47,59,126
12,2,Percentage,,,,0.0%,0.1%,0.2%,0.8%,1.0%,2.1%
13,1,Number,,,,,,,2,11,13
14,1,Percentage,,,,,,,0.0%,0.2%,0.2%
15,U,Number,,,,,,,,,
16,U,Percentage,,,,,,,,,
17,Total,Number,219,692,1281,1351,1187,783,375,161,6049
18,Total,Percentage,3.6%,11.4%,21.2%,22.3%,19.6%,12.9%,6.2%,2.7%,100.0%
