No.,Total no. of subjects at top levels / grades,Candidates with the corresponding results in Category A/B/C subjects - No. of Male,Candidates with the corresponding results in Category A/B/C subjects - % of Male,Candidates with the corresponding results in Category A/B/C subjects - No. of Female,Candidates with the corresponding results in Category A/B/C subjects - % of Female,Candidates with the corresponding results in Category A/B/C subjects - Total No.,Candidates with the corresponding results in Category A/B/C subjects - Total %,Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,7,3,0.0,4,0.0,7,0.0,3,0.0,4,0.0,7,0.0
3,6,13,0.1,5,0.0,18,0.0,13,0.1,5,0.0,18,0.0
4,5,28,0.1,25,0.1,53,0.1,27,0.1,23,0.1,50,0.1
5,4,60,0.3,38,0.2,98,0.2,59,0.3,40,0.2,99,0.2
6,3,83,0.4,77,0.4,160,0.4,84,0.4,74,0.4,158,0.4
7,2,186,0.9,201,1.0,387,0.9,180,0.9,189,0.9,369,0.9
8,1,766,3.6,1013,4.9,1779,4.2,634,3.0,690,3.3,1324,3.2
9,0,20008,94.6,19518,93.5,39526,94.0,20112,95.3,19817,95.1,39929,95.2
10,Total,21147,100.0,20881,100.0,42028,100.0,21112,100.0,20842,100.0,41954,100.0
