No.,Description,Type,Day school candidates taking at least six Category A / B subjects - Male,Day school candidates taking at least six Category A / B subjects - Female,Day school candidates taking at least six Category A / B subjects - Total,All candidates taking at least six Category A / B subjects - Male,All candidates taking at least six Category A / B subjects - Female,All candidates taking at least six Category A / B subjects - Total
1,No. of candidates,Number,17934,18701,36635,18771,19351,38122
2,Total grade points 10 – 12,Number,4,13,17,5,13,18
3,Total grade points 10 – 12,Percentage,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%
4,Total grade points 13 – 15,Number,133,232,365,139,242,381
5,Total grade points 13 – 15,Percentage,0.7%,1.2%,1.0%,0.7%,1.3%,1.0%
6,Total grade points 16 – 18,Number,606,1127,1733,628,1148,1776
7,Total grade points 16 – 18,Percentage,3.4%,6.0%,4.7%,3.3%,5.9%,4.7%
8,Total grade points 19 – 21,Number,1395,2147,3542,1427,2186,3613
9,Total grade points 19 – 21,Percentage,7.8%,11.5%,9.7%,7.6%,11.3%,9.5%
10,Total grade points 22 – 24,Number,1767,2574,4341,1805,2614,4419
11,Total grade points 22 – 24,Percentage,9.9%,13.8%,11.8%,9.6%,13.5%,11.6%
12,Total grade points 25 – 27,Number,1424,1860,3284,1445,1881,3326
13,Total grade points 25 – 27,Percentage,7.9%,9.9%,9.0%,7.7%,9.7%,8.7%
14,Total grade points 28 – 30,Number,913,1067,1980,933,1081,2014
15,Total grade points 28 – 30,Percentage,5.1%,5.7%,5.4%,5.0%,5.6%,5.3%
16,Total grade points 31 – 33,Number,518,600,1118,524,606,1130
17,Total grade points 31 – 33,Percentage,2.9%,3.2%,3.1%,2.8%,3.1%,3.0%
18,Total grade points 34 – 36,Number,334,312,646,339,316,655
19,Total grade points 34 – 36,Percentage,1.9%,1.7%,1.8%,1.8%,1.6%,1.7%
20,Total grade points 37 – 39,Number,158,173,331,159,173,332
21,Total grade points 37 – 39,Percentage,0.9%,0.9%,0.9%,0.8%,0.9%,0.9%
22,Total grade points 40 – 42,Number,74,59,133,74,59,133
23,Total grade points 40 – 42,Percentage,0.4%,0.3%,0.4%,0.4%,0.3%,0.3%
