No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction,Attained or above,Unattained
1,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Number,13,12,2,12,0
2,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Male,Percentage,,,16.7%,100.0%,0.0%
3,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Number,25,25,8,25,0
4,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Female,Percentage,,,32.0%,100.0%,0.0%
5,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Number,38,37,10,37,0
6,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Business Service,Total,Percentage,,,27.0%,100.0%,0.0%
7,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Number,5,5,1,4,1
8,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Male,Percentage,,,20.0%,80.0%,20.0%
9,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Number,9,9,4,9,0
10,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Female,Percentage,,,44.4%,100.0%,0.0%
11,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Number,14,14,5,13,1
12,Applied Learning Chinese (for non-Chinese speaking students),Chinese in Practical Context,Total,Percentage,,,35.7%,92.9%,7.1%
13,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Number,18,17,1,9,8
14,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Male,Percentage,,,5.9%,52.9%,47.1%
15,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Number,14,14,2,11,3
16,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Female,Percentage,,,14.3%,78.6%,21.4%
17,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Number,32,31,3,20,11
18,Applied Learning Chinese (for non-Chinese speaking students),Practical Chinese,Total,Percentage,,,9.7%,64.5%,35.5%
19,Applied Learning Chinese (for non-Chinese speaking students),,Male,Number,36,34,4,25,9
20,Applied Learning Chinese (for non-Chinese speaking students),,Male,Percentage,,,11.8%,73.5%,26.5%
21,Applied Learning Chinese (for non-Chinese speaking students),,Female,Number,48,48,14,45,3
22,Applied Learning Chinese (for non-Chinese speaking students),,Female,Percentage,,,29.2%,93.8%,6.3%
23,Applied Learning Chinese (for non-Chinese speaking students),,Total,Number,84,82,18,70,12
24,Applied Learning Chinese (for non-Chinese speaking students),,Total,Percentage,,,22.0%,85.4%,14.6%
