No.,Description,Type,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Male,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Female,Day school candidates taking at least five Category A / B subjects (Any five subjects#) - Total,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Male,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Female,Day school candidates taking at least five Category A / B subjects (Four core subjects and one elective subject) - Total
1,No. of candidates,Number,20550,20533,41083,20550,20533,41083
2,Total grade points 12 – 14,Number,250,426,676,301,503,804
3,Total grade points 12 – 14,Percentage,1.2%,2.1%,1.6%,1.5%,2.4%,2.0%
4,Total grade points 15 – 17,Number,1314,2079,3393,1526,2281,3807
5,Total grade points 15 – 17,Percentage,6.4%,10.1%,8.3%,7.4%,11.1%,9.3%
6,Total grade points 18 – 20,Number,1968,3000,4968,2357,3293,5650
7,Total grade points 18 – 20,Percentage,9.6%,14.6%,12.1%,11.5%,16.0%,13.8%
8,Total grade points 21 – 23,Number,1799,2439,4238,1763,2275,4038
9,Total grade points 21 – 23,Percentage,8.8%,11.9%,10.3%,8.6%,11.1%,9.8%
10,Total grade points 24 – 26,Number,1069,1229,2298,931,1136,2067
11,Total grade points 24 – 26,Percentage,5.2%,6.0%,5.6%,4.5%,5.5%,5.0%
12,Total grade points 27 – 29,Number,605,671,1276,415,543,958
13,Total grade points 27 – 29,Percentage,2.9%,3.3%,3.1%,2.0%,2.6%,2.3%
14,Total grade points 30 – 32,Number,342,348,690,154,225,379
15,Total grade points 30 – 32,Percentage,1.7%,1.7%,1.7%,0.7%,1.1%,0.9%
16,Total grade points 33 – 35,Number,152,124,276,52,60,112
17,Total grade points 33 – 35,Percentage,0.7%,0.6%,0.7%,0.3%,0.3%,0.3%
