No.,Total no. of subjects at top levels / grades,Candidates with the corresponding results in Category A/B/C subjects - No. of Male,Candidates with the corresponding results in Category A/B/C subjects - % of Male,Candidates with the corresponding results in Category A/B/C subjects - No. of Female,Candidates with the corresponding results in Category A/B/C subjects - % of Female,Candidates with the corresponding results in Category A/B/C subjects - Total No.,Candidates with the corresponding results in Category A/B/C subjects - Total %,Candidates with the corresponding results in Category A subjects - No. of Male,Candidates with the corresponding results in Category A subjects - % of Male,Candidates with the corresponding results in Category A subjects - No. of Female,Candidates with the corresponding results in Category A subjects - % of Female,Candidates with the corresponding results in Category A subjects - Total No.,Candidates with the corresponding results in Category A subjects - Total %
1,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,7,3,0.0,4,0.0,7,0.0,3,0.0,4,0.0,7,0.0
3,6,13,0.1,5,0.0,18,0.0,13,0.1,5,0.0,18,0.0
4,5,28,0.1,25,0.1,53,0.1,27,0.1,23,0.1,50,0.1
5,4,60,0.2,38,0.2,98,0.2,59,0.2,40,0.2,99,0.2
6,3,86,0.3,78,0.3,164,0.3,87,0.3,75,0.3,162,0.3
7,2,206,0.8,210,0.9,416,0.8,200,0.8,198,0.8,398,0.8
8,1,1002,3.9,1104,4.5,2106,4.2,862,3.4,768,3.2,1630,3.3
9,0,24178,94.5,22936,94.0,47114,94.3,24263,95.1,23226,95.4,47489,95.3
10,Total,25576,100.0,24400,100.0,49976,100.0,25514,100.0,24339,100.0,49853,100.0
